PacketDropQueue Network.nodeTx.TrTx (#0 - General-0-20230516-09:46:38-20937),,PacketDropQueue Network.queue_0 (#0 - General-0-20230516-09:46:38-20937),,PacketDropQueue Network.queue_1 (#0 - General-0-20230516-09:46:38-20937),,PacketDropQueue Network.nodeRx.TrRx (#0 - General-0-20230516-09:46:38-20937),,PacketGen Network.nodeTx.gen (#0 - General-0-20230516-09:46:38-20937),,BufferSizeQueue Network.nodeTx.TrTx (#0 - General-0-20230516-09:46:38-20937),,BufferSizeQueue Network.queue_0 (#0 - General-0-20230516-09:46:38-20937),,BufferSizeQueue Network.nodeRx.TrRx (#0 - General-0-20230516-09:46:38-20937),,Delay Network.nodeRx.sink (#0 - General-0-20230516-09:46:38-20937),,PacketUsed Network.nodeRx.sink (#0 - General-0-20230516-09:46:38-20937),
,,,,,,,,5.473023812737,26,5.473023812737,1,5.573349410934,2,6.085749121849,1,6.185749121849,0.712725309112000045,6.185749121849,1
,,,,,,,,5.992674629907,27,5.992674629907,1,6.092774629907,1,6.292874629907,1,6.392874629907,0.4002,6.392874629907,1
,,,,,,,,6.354348482762,28,6.354348482762,1,6.454448482762,1,6.654548482762,1,6.754548482762,0.4002,6.754548482762,1
,,,,,,,,6.369085553855,29,6.369085553855,1,6.554448482762,1,6.854548482762,1,6.954548482762,0.585462928906999911,6.954548482762,1
,,,,,,,,6.451401153104,30,6.451401153104,2,6.654448482762,1,7.054548482762,1,7.154548482762,0.703147329657999972,7.154548482762,1
,,,,,,,,6.469633358329,31,6.469633358329,2,6.754448482762,2,7.254548482762,1,7.354548482762,0.884915124433000017,7.354548482762,1
,,,,,,,,6.678555859991,32,6.678555859991,1,6.854448482762,2,7.454548482762,1,7.554548482762,0.875992622770999981,7.554548482762,1
,,,,,,,,6.682640977671,33,6.682640977671,2,6.954448482762,3,7.654548482762,1,7.754548482762,1.071907505091000075,7.754548482762,1
,,,,,,,,6.774490605122,34,6.774490605122,2,7.054448482762,3,7.854548482762,1,7.954548482762,1.180057877639999913,7.954548482762,1
,,,,,,,,7.13198813781,35,7.13198813781,1,7.23208813781,4,8.054548482762,1,8.154548482762,1.022560344951999763,8.154548482762,1
,,,,,,,,7.762022123545,36,7.762022123545,1,7.862122123545,1,8.254548482762,1,8.354548482762,0.592526359217000028,8.354548482762,1
,,,,,,,,8.063178975272,37,8.063178975272,1,8.163278975272,1,8.454548482762,1,8.554548482762,0.491369507489999965,8.554548482762,1
,,,,,,,,8.093425146005,38,8.093425146005,1,8.263278975272,1,8.654548482762,1,8.754548482762,0.661123336756999966,8.754548482762,1
,,,,,,,,8.501487997593,39,8.501487997593,1,8.601587997593,1,8.854548482762,1,8.954548482762,0.453060485168999992,8.954548482762,1
,,,,,,,,8.909666440775,40,8.909666440775,1,9.009766440775,1,9.209866440775,1,9.309866440775,0.4002,9.309866440775,1
,,,,,,,,9.678710814603,41,9.678710814603,1,9.778810814603,1,9.978910814603,1,10.078910814603,0.4002,10.078910814603,1
,,,,,,,,9.807052649139,42,9.807052649139,1,9.907152649139,1,10.178910814603,1,10.278910814603,0.471858165463999944,10.278910814603,1
,,,,,,,,10.128100560551,43,10.128100560551,1,10.228200560551,1,10.428300560551,1,10.528300560551,0.4002,10.528300560551,1
,,,,,,,,10.45090097553,44,10.45090097553,1,10.55100097553,1,10.75110097553,1,10.85110097553,0.4002,10.85110097553,1
,,,,,,,,10.574686867455,45,10.574686867455,1,10.674786867455,1,10.95110097553,1,11.05110097553,0.476414108074999951,11.05110097553,1
,,,,,,,,10.721679751693,46,10.721679751693,1,10.821779751693,1,11.15110097553,1,11.25110097553,0.529421223836999963,11.25110097553,1
,,,,,,,,11.024986946491,47,11.024986946491,1,11.125086946491,1,11.35110097553,1,11.45110097553,0.426114029038999974,11.45110097553,1
,,,,,,,,11.252174734833,48,11.252174734833,1,11.352274734833,1,11.552374734833,1,11.652374734833,0.4002,11.652374734833,1
,,,,,,,,11.277349616721,49,11.277349616721,1,11.452274734833,1,11.752374734833,1,11.852374734833,0.575025118111999853,11.852374734833,1
,,,,,,,,11.532395157166,50,11.532395157166,1,11.632495157166,1,11.952374734833,1,12.052374734833,0.519979577666999978,12.052374734833,1
,,,,,,,,11.736681532036,51,11.736681532036,1,11.836781532036,1,12.152374734833,1,12.252374734833,0.515693202797000036,12.252374734833,1
,,,,,,,,11.911145771044,52,11.911145771044,1,12.011245771044,1,12.352374734833,1,12.452374734833,0.541228963788999981,12.452374734833,1
,,,,,,,,11.942091707144,53,11.942091707144,1,12.111245771044,2,12.552374734833,1,12.652374734833,0.710283027688999976,12.652374734833,1
,,,,,,,,12.096258638837,54,12.096258638837,1,12.211245771044,2,12.752374734833,1,12.852374734833,0.756116095996000045,12.852374734833,1
,,,,,,,,12.675142734434,55,12.675142734434,1,12.775242734434,1,12.975342734434,1,13.075342734434,0.4002,13.075342734434,1
,,,,,,,,12.959415670453,56,12.959415670453,1,13.059515670453,1,13.259615670453,1,13.359615670453,0.4002,13.359615670453,1
,,,,,,,,13.106981128804,57,13.106981128804,1,13.207081128804,1,13.459615670453,1,13.559615670453,0.452634541648999964,13.559615670453,1
