PacketDropQueue Network.nodeTx.queue (#0 - General-0-20230516-03:28:02-4649),,PacketDropQueue Network.queue (#0 - General-0-20230516-03:28:02-4649),,PacketDropQueue Network.nodeRx.queue (#0 - General-0-20230516-03:28:02-4649),,PacketGen Network.nodeTx.gen (#0 - General-0-20230516-03:28:02-4649),,BufferSizeQueue Network.nodeTx.queue (#0 - General-0-20230516-03:28:02-4649),,BufferSizeQueue Network.queue (#0 - General-0-20230516-03:28:02-4649),,BufferSizeQueue Network.nodeRx.queue (#0 - General-0-20230516-03:28:02-4649),,Delay Network.nodeRx.sink (#0 - General-0-20230516-03:28:02-4649),,PacketUsed Network.nodeRx.sink (#0 - General-0-20230516-03:28:02-4649),
,,,,124.105409158083,1,1.937567660767,1,1.937567660767,1,2.037667660767,1,2.137767660767,2,2.55291074958,0.615343088813000037,2.55291074958,1
,,,,124.305409158083,1,2.010336885325,1,2.010336885325,1,2.137667660767,1,2.237767660767,2,2.75291074958,0.742573864254999935,2.75291074958,1
,,,,124.505409158083,1,2.096664764857,1,2.096664764857,1,2.237667660767,1,2.337767660767,3,2.95291074958,0.856245984722999948,2.95291074958,1
,,,,124.705409158083,1,2.149638635728,1,2.149638635728,1,2.337667660767,1,2.437767660767,3,3.15291074958,1.003272113851999765,3.15291074958,1
,,,,124.905409158083,1,2.483167299033,1,2.483167299033,1,2.583267299033,1,2.683367299033,3,3.35291074958,0.869743450546999859,3.35291074958,1
,,,,125.105409158083,1,2.491924999397,1,2.491924999397,1,2.683267299033,1,2.783367299033,3,3.55291074958,1.060985750182999782,3.55291074958,1
,,,,125.51586132916,1,2.989161841386,1,2.989161841386,1,3.089261841386,1,3.189361841386,2,3.75291074958,0.763748908193999873,3.75291074958,1
,,,,127.118254022814,1,3.036915262512,1,3.036915262512,1,3.189261841386,1,3.289361841386,3,3.95291074958,0.915995487068000043,3.95291074958,1
,,,,128.861068947397,1,3.109455578254,1,3.109455578254,1,3.289261841386,1,3.389361841386,3,4.15291074958,1.043455171325999848,4.15291074958,1
,,,,129.061068947397,1,3.206872530492,1,3.206872530492,1,3.389261841386,1,3.489361841386,4,4.35291074958,1.146038219088000072,4.35291074958,1
,,,,129.261068947397,1,3.442206948135,1,3.442206948135,1,3.542306948135,1,3.642406948135,4,4.55291074958,1.110703801444999689,4.55291074958,1
,,,,129.461068947397,1,3.693038628184,1,3.693038628184,1,3.793138628184,1,3.893238628184,4,4.75291074958,1.059872121395999841,4.75291074958,1
,,,,130.527013652082,1,3.805939745181,1,3.805939745181,1,3.906039745181,1,4.006139745181,4,4.95291074958,1.146971004399000011,4.95291074958,1
,,,,130.727013652082,1,3.904022130264,1,3.904022130264,1,4.006039745181,1,4.106139745181,5,5.15291074958,1.24888861931599981,5.15291074958,1
,,,,131.505843760061,1,4.029937058199,1,4.029937058199,1,4.130037058199,1,4.230137058199,5,5.35291074958,1.322973691380999732,5.35291074958,1
,,,,133.283567789949,1,4.104767859551,1,4.104767859551,1,4.230037058199,1,4.330137058199,6,5.55291074958,1.44814289002900009,5.55291074958,1
,,,,139.520194749947,1,4.494505972428,1,4.494505972428,1,4.594605972428,1,4.694705972428,5,5.75291074958,1.258404777151999716,5.75291074958,1
,,,,139.720194749947,1,4.765761362069,1,4.765761362069,1,4.865861362069,1,4.965961362069,4,5.95291074958,1.187149387510999961,5.95291074958,1
,,,,139.920194749947,1,4.776814165389,1,4.776814165389,1,4.965861362069,1,5.065961362069,5,6.15291074958,1.376096584191,6.15291074958,1
,,,,140.120194749947,1,4.838550864825,1,4.838550864825,2,5.065861362069,1,5.165961362069,5,6.35291074958,1.514359884754999712,6.35291074958,1
,,,,140.320194749947,1,4.852225018744,1,4.852225018744,3,5.165861362069,1,5.265961362069,6,6.55291074958,1.700685730835999715,6.55291074958,1
,,,,140.520194749947,1,5.00891689499,1,5.00891689499,2,5.265861362069,1,5.365961362069,6,6.75291074958,1.74399385458999977,6.75291074958,1
,,,,140.720194749947,1,5.01198073325,1,5.01198073325,3,5.365861362069,1,5.465961362069,7,6.95291074958,1.940930016329999832,6.95291074958,1
,,,,141.34715300664,1,5.080867953838,1,5.080867953838,3,5.465861362069,1,5.565961362069,7,7.15291074958,2.072042795742000003,7.15291074958,1
,,,,141.658749120924,1,5.348991103354,1,5.348991103354,2,5.565861362069,1,5.665961362069,8,7.35291074958,2.003919646225999601,7.35291074958,1
,,,,142.512743946734,1,5.821516592655,1,5.821516592655,1,5.921616592655,1,6.021716592655,7,7.55291074958,1.731394156924999976,7.55291074958,1
,,,,143.920942733922,1,6.047384231451,1,6.047384231451,1,6.147484231451,1,6.247584231451,7,7.75291074958,1.705526518129000018,7.75291074958,1
,,,,146.304339930335,1,6.070068859501,1,6.070068859501,1,6.247484231451,1,6.347584231451,8,7.95291074958,1.882841890078999816,7.95291074958,1
